text,category
The road in front of our colony has been full of potholes for over a week now,road
There has been no water supply in our area since yesterday morning,water
Power cut is going on continuously for the past 6 hours in our locality,electricity
Garbage has not been collected from our street for the last 4 days,garbage
The main road near the bus stop is completely broken and causing accidents,road
Tap water supply has been completely dry in our building since Monday morning,water
Lights on our street have not been working for 3 nights straight,electricity
Trash bins near the park are overflowing and no one has come to clear them,garbage
A massive pothole near the school entrance has injured two bikers already,road
Water pipeline near my house has been leaking for 2 days and nobody is fixing it,water
There is a power outage in my entire street and the electricity board is not responding,electricity
Waste dumped near the corner of my lane is rotting and smelling very bad,garbage
The road surface on MG Road extension has completely eroded after the rains,road
We have not received piped water supply for the past 3 days in our block,water
The transformer in our area blew up last evening and we still have no power,electricity
Municipal truck has skipped garbage pickup in our neighbourhood for 5 consecutive days,garbage
Huge crater has formed on the service road causing traffic jams daily,road
Drinking water supply was cut off without any prior notice in our area,water
Frequent power fluctuations are damaging our appliances every single day,electricity
There is an open garbage dump near our apartment gate that is attracting stray dogs,garbage
The footpath along the main road has been dug up and left unrepaired for weeks,road
Water coming from our taps has a foul smell and yellowish colour since yesterday,water
A high-voltage wire is dangling loose on our street and poses a serious danger to pedestrians,electricity
Heaps of construction debris and household waste have been piling up near my house,garbage
Our entire ward has no clean drinking water supply for the past two days,water
Streetlights on the bypass road are not working making it unsafe to travel at night,electricity
The dustbin at the end of our lane hasn't been emptied in nearly a week,garbage
Deep potholes on the highway stretch near our village have not been repaired for months,road
The borewell in our locality has run dry and BWSSB is not responding to our complaints,water
Power supply to our area is cut daily for 4 to 5 hours without any schedule,electricity
Rotting garbage near the vegetable market is causing a severe stench in the neighbourhood,garbage
Newly laid road in our colony has already developed cracks within just two months,road
Sewage water is mixing with drinking water supply near our housing society,water
Electric meter room in our building floods every time it rains due to a faulty connection,electricity
The garbage collection vehicle has not visited our street since last Thursday,garbage
There is a giant pothole on the road near the hospital that is causing daily accidents,road
Our overhead water tank has not been filled by the tanker for the last 3 days,water
A live electric wire has fallen on the wet road near the market and needs urgent attention,electricity
Piles of uncollected waste outside our apartment building are breeding mosquitoes,garbage
The road divider near the school has collapsed and is blocking one entire lane,road
Water pressure in our taps is so low since morning that nothing flows above the first floor,water
Load shedding in our village is happening for 8 hours a day without any notice,electricity
Garbage from our block has not been picked up all week despite multiple complaints to the municipality,garbage
This road was dug for pipeline work months ago and has still not been restored,road
Our entire colony gets water for only 15 minutes a day which is completely insufficient,water
The electricity meter of our building is sparking and looks like it may catch fire soon,electricity
Plastic and food waste is being dumped openly on the plot next to our building every night,garbage
Three consecutive road patches near my home remain unrepaired despite multiple complaints,road
BWSSB cut our water supply saying dues are pending but our bills are fully paid,water
No street lighting on the stretch from the temple to the crossroads for over a week,electricity
Garbage from the nearby market is being illegally dumped on our residential street,garbage
The pothole near the school gate has been filled with mud twice but breaks again in a day,road
Contaminated water has been coming from municipal taps in our area since last week,water
Electricity bill shows units we never consumed and the board is not responding to queries,electricity
Wild animals are attracted to the open waste dump behind our colony every night,garbage
The road near the construction site has loose gravel and mud causing bike skids daily,road
We have been dependent on private water tankers for 4 days due to no municipal supply,water
Our neighbourhood has been facing complete power failure since the cyclone passed,electricity
Waste collection has become irregular in our ward ever since the new contractor took over,garbage
Speed breakers on the road have been washed away and no one is fixing them,road
Water tank on our street has been broken and leaking water onto the road for 3 days,water
Transformer is making loud buzzing sounds all night and the board has not sent anyone,electricity
Illegal dumping of industrial waste near our village pond is polluting the entire area,garbage
The bridge road near the river has developed huge cracks and feels unsafe to walk on,road
No supply of water in our apartment complex since the maintenance team broke a pipe,water
Electric sparks were seen coming from a pole near our school gate this morning,electricity
Our ward's garbage truck only comes twice a week but the area needs daily collection,garbage
Sewage water is flowing onto the main road due to a broken drain near our colony,road
Municipal water has turned dark brown after the rain and is unfit for drinking,water
Continuous tripping of main switch in our building every evening since last Monday,electricity
The entire waste bin area near the bus stand is overflowing onto the footpath and road,garbage
Roads in our entire layout were dug up for cable laying and remain unrepaired since March,road
No water in the overhead tank of our building for the past 48 hours despite repeated calls,water
There is no electricity in our area during morning hours daily which affects our work,electricity
Decomposing garbage near our building is causing a major health risk for residents,garbage
The road between the two markets has been dug for an underground cable and not refilled,road
Dirty water is leaking from a broken municipal pipeline directly into the storm drain near us,water
The street pole's wire is fallen on the road after last night's storm and is still unattended,electricity
Nobody from the municipality has come to collect garbage in our street for 6 days straight,garbage
Heavy rain washed away the road surface on our lane and it still has not been repaired,road
There is no water supply in our building since the borewell motor broke two days ago,water
Power keeps tripping every night between 8 and 10 PM in our entire block for the past week,electricity
An illegal garbage dump has appeared next to the children's park near my house,garbage
The road in our slum area has been waterlogged due to poor drainage and uneven surface,road
Our water meter shows abnormally high consumption even though we have been away for 5 days,water
Street light pole near the bus stop was broken in the accident but still has live wires hanging,electricity
Garbage truck collects waste from the main road only and skips the interior lanes daily,garbage
Road near our colony turns into a pond every time it rains due to improper construction,road
Tap water smells strongly of chlorine in our area since the past two days,water
Power cuts every 2 hours are making it impossible to work from home in our area,electricity
Waste from the nearby restaurant is being dumped outside on the street every night,garbage
Broken asphalt has left sharp stones on the road near my house which puncture tyres daily,road
No water supply to our flat since the municipal pump motor is under repair for 3 days,water
An electric short circuit happened in the main box of our building yesterday with no repair yet,electricity
The garbage in front of our society gate is uncollected and is now attracting rats and flies,garbage
The drain cover on the road has been missing for two weeks creating a dangerous open pit,road
Brown and muddy water is flowing from the municipal tap in our colony since Monday,water
